,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Of which Polyunsaturated,Iron,Omega 3,Vitamin A,Vitamin B12,Sodium,Vitamin D,Calcium,Of which Trans,Vitamin C,Selenium,Thiamin,Iodine,Potassium,Riboflavin,Vitamin E,Vitamin B6,Biotin,Copper,Of which Polyols,Manganese,Omega 6,Folic Acid,Niacin,Polyunsaturates,Salt Equivalent,Magnesium,Pathogenic Acid,Zinc,Of which Starch,Vitamin K,Chloride,Pantothenic Acid,Cholesterol,Of which Cholesterol,box,label-glued,shrinkwrap,Omega 9
5423,"62,6g",-518kcal,"26,0g","3,4g","4,1g","14,5g","6,7g","0,3g",IRosales Original Olive Oil Tortas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5424,64.0g,461kcal,17.0g,4.0g,11.0g,5.4g,11.0g,3.0g,Mrs Crimble's cheese crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425,79.3g,466kcal,10.7g,,3.0g,30.4g,10.2g,1.7g,Miller's Toast Cranberry & Raisin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5426,58g,498kcal,25g,,16g,33g,7.2g,0.53g,Bahlsen Choco Leibniz Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5427,61g,505kcal,25g,,16g,41g,7.5g,0.64g,Bahlsen Choco Leibniz Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5428,63.6g,483kcal,21.3g,3.7g,10.1g,15.1g,7.0g,1.3g,McVitie's Digestive Biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5429,59.1g,525kcal,29.2g,1.9g,18.4g,14.9g,5.6g,0.57g,Waitrose shortbread fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5430,63.6g,483kcal,21.3g,3.7g,10.1g,15.1g,7.0g,1.3g,McVitie's Digestive Biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5431,65.9g,487kcal,21.4g,2.8g,12.1g,25.2g,6.3g,0.22g,Essential Bourbon Creams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5432,68.0g,497kcal,22.2g,1.5g,12.1g,30.4g,5.6g,0.39g,Essential Custard Creams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5433,74.6g,456kcal,14.6g,1.9g,6.8g,25.6g,5.7g,0.93g,Essential Ginger Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,62.5g,496kcal,23.6g,3.0g,12.4g,28.5g,6.7g,0.94g,McVitie's Digestives Milk Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
